Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A751682,Laia,06/26/2017 06:11:00 PM,06/26/2017 06:11:00 PM,10/11/2014,Dog,Spayed Female,2 years,Plott Hound/Dachshund,Brown,0
A709694,,08/12/2015 01:19:00 PM,08/12/2015 01:19:00 PM,08/12/2014,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,1
A681401,,06/18/2014 02:09:00 PM,06/18/2014 02:09:00 PM,05/01/2014,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,0
A767432,Chica,05/21/2019 01:11:00 PM,05/21/2019 01:11:00 PM,02/28/2016,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/Brown,0
A548156,Tank,02/25/2014 01:48:00 PM,02/25/2014 01:48:00 PM,07/29/2008,Dog,Neutered Male,5 years,Pit Bull Mix,Blue/White,0
A733495,*Victoria,02/26/2017 06:43:00 PM,02/26/2017 06:43:00 PM,08/22/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,0
A712270,Kazi,09/23/2015 02:55:00 PM,09/23/2015 02:55:00 PM,08/05/2015,Cat,Intact Male,1 month,Siamese Mix,Seal Point,0
A672214,,02/13/2014 04:57:00 PM,02/13/2014 04:57:00 PM,08/05/2012,Dog,Spayed Female,1 year,Labrador Retriever/Border Collie,White/Black,0
A690429,*Taurus,11/02/2014 06:22:00 PM,11/02/2014 06:22:00 PM,10/20/2013,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Tan,0
A711553,*Abbott,12/30/2015 08:12:00 AM,12/30/2015 08:12:00 AM,09/08/2011,Dog,Neutered Male,4 years,Cardigan Welsh Corgi Mix,Tricolor,0
A685162,*Maple,08/10/2014 04:35:00 PM,08/10/2014 04:35:00 PM,07/27/2014,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black,0
A721559,*Milton,03/12/2016 02:23:00 PM,03/12/2016 02:23:00 PM,02/29/2008,Dog,Neutered Male,8 years,Miniature Poodle Mix,Brown,0
