,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
0,Dog,Spayed Female,0.18091240613385698,Plott Hound/Dachshund,Brown,0
1,Cat,Intact Female,-0.3964989174522557,Domestic Shorthair Mix,Brown Tabby,1
2,Cat,Intact Male,-0.6898312725432777,Domestic Shorthair Mix,Black/White,0
3,Dog,Spayed Female,0.35580141279695837,Chihuahua Shorthair Mix,Black/Brown,0
4,Dog,Neutered Male,1.1506673213874563,Pit Bull Mix,Blue/White,0
5,Cat,Spayed Female,-0.22160991078915426,Domestic Shorthair Mix,Calico,0
6,Cat,Intact Male,-0.6889059338836845,Siamese Mix,Seal Point,0
7,Dog,Spayed Female,-0.21883389481037485,Labrador Retriever/Border Collie,White/Black,0
8,Dog,Neutered Male,-0.384469514877545,German Shepherd Mix,Black/Tan,0
9,Dog,Neutered Male,0.7222355219958376,Cardigan Welsh Corgi Mix,Tricolor,0
10,Cat,Unknown,-0.721292786969444,Domestic Shorthair Mix,White/Black,0
11,Dog,Neutered Male,1.9806960990424933,Miniature Poodle Mix,Brown,0
12,Cat,Intact Female,-0.39557357879266253,Domestic Longhair Mix,Brown Tabby/White,0
13,Dog,Spayed Female,-0.4233337385804564,American Pit Bull Terrier Mix,Tan/White,0
14,Dog,Spayed Female,-0.2641754891304382,Pit Bull,Brown Brindle/White,0
15,Dog,Intact Male,0.9554208642133061,Chihuahua Shorthair Mix,Black/Tan,0
16,Dog,Neutered Male,-0.3761414669412068,Great Pyrenees Mix,White,0
17,Cat,Neutered Male,-0.64911637152118,Domestic Shorthair Mix,Brown Tabby/White,0
18,Dog,Spayed Female,1.908519683594229,Akita,Black/White,0
19,Dog,Spayed Female,0.2799236427103218,Chihuahua Shorthair Mix,Tan,0
20,Dog,Spayed Female,-0.6824285632665326,German Shepherd Mix,Tan,0
21,Other,Unknown,-0.3964989174522557,Raccoon Mix,Black/White,1
22,Cat,Spayed Female,-0.6574444194575181,Domestic Longhair Mix,Black/White,0
23,Other,Unknown,-0.05782496804117038,Bat,Brown,1
24,Cat,Spayed Female,-0.671324499351415,Domestic Shorthair Mix,Brown Tabby,0
25,Cat,Spayed Female,1.297796168262764,Domestic Shorthair Mix,White/Brown Tabby,0
26,Dog,Intact Female,-0.6815032246069395,Whippet/Dachshund,White,0
27,Cat,Intact Female,-0.7203674483098509,Domestic Shorthair Mix,Tortie,0
28,Dog,Neutered Male,0.2901023679658462,Chihuahua Shorthair Mix,Black/White,0
29,Cat,Spayed Female,-0.671324499351415,Domestic Shorthair Mix,White/Orange Tabby,0
30,Dog,Spayed Female,-0.6611457740958906,Australian Shepherd/Chihuahua Shorthair,Black/Tan,0
31,Dog,Intact Female,-0.3789174829199862,German Shepherd Mix,Black/Tan,0
32,Cat,Unknown,-0.7055620297563608,Domestic Shorthair Mix,Calico,0
33,Dog,Spayed Female,1.2080383182822303,Chihuahua Shorthair Mix,Brown,0
34,Dog,Intact Female,-0.4473925437298778,Labrador Retriever Mix,Black/White,0
35,Dog,Neutered Male,-0.0522729360836116,Chihuahua Shorthair,Red/White,0
36,Dog,Neutered Male,-0.38539485353713815,Australian Cattle Dog Mix,White/Tricolor,0
37,Other,Intact Male,-0.22716194274671303,Guinea Pig,White/Tricolor,0
38,Dog,Spayed Female,-0.5380757323700045,Labrador Retriever/Great Pyrenees,Tan/White,0
39,Dog,Intact Male,-0.39557357879266253,Maltese/Miniature Poodle,Black,0
40,Dog,Spayed Female,-0.05412361340279786,Siberian Husky Mix,White/Black,0
41,Cat,Neutered Male,-0.6676231447130425,Domestic Shorthair Mix,Brown Tabby,0
42,Dog,Intact Female,-0.4390644957935396,Collie Smooth Mix,Tan/White,0
43,Dog,Neutered Male,0.2697449174547974,Jack Russell Terrier/Chihuahua Shorthair,White/Brown,0
44,Dog,Spayed Female,-0.044870226806866566,Australian Shepherd Mix,White/Blue Tick,0
45,Dog,Intact Female,4.335682987707007,Chihuahua Shorthair Mix,Brown,0
46,Dog,Spayed Female,1.9732933897657483,Cocker Spaniel Mix,Tan,0
47,Dog,Spayed Female,0.6778192663353674,Australian Shepherd Mix,Tricolor,0
48,Cat,Neutered Male,-0.09391317576530242,Domestic Shorthair Mix,Cream Tabby/White,0
49,Dog,Spayed Female,-0.6805778859473464,German Shepherd/Labrador Retriever,Brown/Black,0
50,Other,Unknown,-0.5649105534982052,Opossum,Gray,1
51,Dog,Spayed Female,0.9591222188516786,Chihuahua Longhair Mix,White,0
52,Other,Unknown,-0.39464824013306943,Bat Mix,Brown/White,1
53,Dog,Neutered Male,-0.45016855970865716,Dachshund,Black/White,0
54,Dog,Intact Female,4.335682987707007,German Shepherd Mix,Brown/Black,1
55,Dog,Neutered Male,-0.5575078442214602,Labrador Retriever/Pit Bull,Black/White,0
56,Dog,Spayed Female,0.7944119374441017,Bull Terrier Miniature Mix,White/Brown,0
57,Cat,Spayed Female,2.753353879802756,Domestic Shorthair Mix,Silver Tabby,0
58,Dog,Neutered Male,0.16055495562280814,Pit Bull Mix,Brown Brindle/White,0
59,Dog,Spayed Female,-0.6583697581171113,Chihuahua Shorthair/Dachshund,Chocolate/Brown,0
60,Dog,Neutered Male,-0.48070473547523046,Pembroke Welsh Corgi,Red/White,0
61,Dog,Spayed Female,-0.47515270351767164,Chihuahua Longhair Mix,Brown/Black,0
62,Dog,Spayed Female,-0.4076029813673732,Belgian Malinois,Brown/Black,0
63,Dog,Neutered Male,-0.30303971283334963,Miniature Poodle Mix,White/White,0
64,Dog,Intact Female,-0.45294457568743657,Boxer/Boston Terrier,Brown/White,0
65,Cat,Spayed Female,2.149107735088443,Domestic Shorthair,Brown Tabby/White,0
66,Cat,Intact Female,-0.6472656942019936,Domestic Medium Hair,Black,0
67,Other,Unknown,-0.05782496804117038,Raccoon,Gray/Black,1
68,Cat,Intact Female,-0.6629964514150769,Domestic Shorthair Mix,Blue,1
69,Cat,Neutered Male,-0.606550793179896,Domestic Shorthair Mix,Black,0
70,Dog,Spayed Female,-0.5593585215406465,Blue Lacy/Pit Bull,Blue/White,0
71,Cat,Neutered Male,-0.6694738220322288,Domestic Shorthair Mix,Black/White,0
72,Cat,Neutered Male,-0.6685484833726357,Domestic Shorthair Mix,Black/White,0
73,Dog,Spayed Female,-0.5861933426688472,Labrador Retriever/Flat Coat Retriever,Black,0
74,Dog,Intact Female,4.319952230493924,Chihuahua Shorthair Mix,Tan,1
75,Dog,Neutered Male,-0.6574444194575181,Chihuahua Shorthair/Jack Russell Terrier,Black/Tan,0
76,Cat,Intact Male,-0.6870552565644983,Domestic Shorthair Mix,Orange Tabby,0
77,Cat,Intact Female,-0.6176548570950136,Domestic Medium Hair,Tortie,0
78,Dog,Neutered Male,3.725884811035135,Staffordshire Mix,Black/White,0
79,Dog,Neutered Male,0.661163170462691,Labrador Retriever/Black Mouth Cur,Tan/White,0
80,Dog,Intact Male,1.978845421723307,German Shepherd Mix,Black/Tan,0
81,Dog,Intact Male,-0.05782496804117038,American Bulldog Mix,White/Brown Brindle,0
82,Dog,Spayed Female,3.65926042754443,Chihuahua Shorthair Mix,Black/Tan,0
83,Dog,Neutered Male,-0.05412361340279786,Labrador Retriever/German Shepherd,Black/Tan,0
84,Cat,Intact Male,-0.5602838602002396,Domestic Shorthair,Orange Tabby,0
85,Cat,Intact Male,-0.6741005153301944,Domestic Shorthair,Brown Tabby,1
86,Cat,Neutered Male,-0.6611457740958906,Domestic Shorthair Mix,Black/White,0
87,Cat,Spayed Female,-0.5325237004124457,Domestic Shorthair Mix,Brown Tabby,0
88,Cat,Neutered Male,-0.6768765313089739,Domestic Shorthair Mix,Brown Tabby,0
89,Dog,Neutered Male,-0.6768765313089739,Cairn Terrier,Brown/Black,0
90,Cat,Spayed Female,-0.35856003240893736,Domestic Shorthair,Calico,0
91,Dog,Intact Male,-0.055974290721984114,Siberian Husky,White,0
92,Dog,Neutered Male,2.6487906112687325,Dachshund Mix,Black/Brown,0
93,Dog,Neutered Male,0.410396393712953,Black Mouth Cur Mix,Tan/Black,0
94,Cat,Neutered Male,-0.6583697581171113,Domestic Shorthair Mix,Black,0
95,Dog,Spayed Female,0.2901023679658462,Pit Bull Mix,Tan/White,0
96,Dog,Intact Male,-0.05412361340279786,Miniature Poodle/Bernese Mountain Dog,White/Black,0
97,Dog,Intact Male,0.19386714736816077,Chihuahua Shorthair Mix,White/Red,0
98,Dog,Neutered Male,-0.32987453396155036,Pit Bull Mix,White/Tan,0
99,Dog,Intact Male,-0.12074799689350317,Pug Mix,Brown/Black,0
100,Dog,Neutered Male,3.381658829666491,Chihuahua Shorthair Mix,Black,0
101,Dog,Spayed Female,-0.6009987612223372,Dachshund Mix,Brown Brindle,0
102,Cat,Spayed Female,-0.019886082997852078,Domestic Shorthair Mix,Calico,0
103,Dog,Intact Male,-0.7157407550118853,Labrador Retriever,Sable/White,1
104,Cat,Spayed Female,-0.6592950967767044,Domestic Shorthair Mix,Black,0
105,Dog,Intact Male,-0.4594219463045885,Beagle Mix,Brown,0
106,Dog,Intact Male,-0.6084014704990822,Pit Bull,Fawn/White,0
107,Dog,Neutered Male,-0.04116887216849405,Boxer/Beagle,White/Brown,0
108,Dog,Neutered Male,-0.003229987125175751,Australian Kelpie Mix,Brown/White,0
109,Cat,Intact Female,-0.5639852148386121,Domestic Shorthair,Gray Tabby/White,0
110,Dog,Spayed Female,-0.39187222415429,Jack Russell Terrier Mix,Red/White,0
111,Dog,Spayed Female,0.28177432002950803,Shih Tzu,Brown/White,0
112,Cat,Neutered Male,-0.6602204354362975,Domestic Shorthair Mix,Orange Tabby/White,0
113,Dog,Neutered Male,1.2589319445598524,Pit Bull Mix,Brown Brindle/Tan,0
114,Dog,Neutered Male,-0.47422736485807854,German Shepherd Mix,Black/Tan,0
115,Other,Unknown,-0.5639852148386121,Bat,Brown,1
116,Cat,Spayed Female,-0.037467517530121536,Domestic Medium Hair Mix,Torbie/White,0
117,Dog,Intact Male,-0.05689962938157725,Tibetan Spaniel Mix,Brown/White,0
118,Cat,Spayed Female,-0.39279756281388317,Domestic Shorthair Mix,Black/White,0
119,Dog,Spayed Female,2.3138180164960196,German Shepherd Mix,Sable,0
120,Dog,Neutered Male,-0.6741005153301944,Labrador Retriever Mix,Black/White,0
121,Dog,Neutered Male,-0.05412361340279786,Chihuahua Shorthair Mix,Tan,0
122,Dog,Spayed Female,3.3233624941121236,Miniature Poodle/Maltese,White,0
123,Cat,Intact Male,-0.6916819498624639,Domestic Shorthair Mix,Brown Tabby,0
124,Cat,Neutered Male,0.9572715415324923,Domestic Shorthair Mix,Brown Tabby,0
125,Cat,Neutered Male,-0.6629964514150769,Domestic Shorthair Mix,Blue Tabby,0
126,Dog,Intact Male,-0.05689962938157725,Pit Bull Mix,Brown Brindle,0
127,Dog,Spayed Female,-0.6148788411162341,Labrador Retriever Mix,Black,0
128,Other,Unknown,-0.058750306700763505,Raccoon Mix,Black/Gray,1
129,Dog,Spayed Female,1.9695920351273757,Labrador Retriever Mix,Black/White,0
130,Dog,Neutered Male,-0.27805556902433515,Labrador Retriever Mix,Black/White,0
131,Cat,Neutered Male,-0.6361616302868761,Domestic Shorthair,Black/White,0
132,Cat,Intact Male,-0.713890077692699,Domestic Shorthair Mix,Brown Tabby/White,0
133,Other,Unknown,-0.5056888792842449,Raccoon,Black/Gray,1
134,Dog,Spayed Female,-0.5047635406246518,Labrador Retriever Mix,Black,0
135,Dog,Neutered Male,2.909736113273995,German Shepherd Mix,Brown/White,0
136,Cat,Neutered Male,-0.577865294732509,Domestic Shorthair,Brown Tabby/White,0
137,Dog,Spayed Female,-0.3604107097281236,Labrador Retriever Mix,Black/White,0
138,Dog,Intact Female,-0.39557357879266253,Black Mouth Cur/German Shepherd,Brown/Black,0
139,Dog,Intact Female,-0.7064873684159539,Bernese Mountain Dog,Tricolor,0
140,Cat,Intact Female,-0.7046366910967677,Domestic Shorthair Mix,Blue Tabby,1
141,Dog,Spayed Female,-0.05782496804117038,Rhod Ridgeback Mix,Red,0
142,Dog,Spayed Female,-0.04949692010483221,Great Pyrenees Mix,White,0
143,Dog,Spayed Female,-0.14295612472373825,Border Collie/Beagle,Black/White,0
144,Cat,Spayed Female,1.5374588810973844,Domestic Shorthair Mix,Orange Tabby/White,0
145,Dog,Neutered Male,-0.05782496804117038,Miniature Schnauzer Mix,Black/Gray,0
146,Dog,Spayed Female,-0.055048952062390986,Border Collie Mix,White/Black,0
147,Cat,Intact Female,-0.05782496804117038,American Shorthair Mix,Black/White,0
148,Dog,Spayed Female,-0.6685484833726357,Cairn Terrier Mix,Tan/White,0
149,Other,Unknown,-0.05689962938157725,Bat Mix,Brown,1
150,Dog,Intact Female,-0.055974290721984114,Basenji/Carolina Dog,Tan/White,0
151,Other,Unknown,-0.3964989174522557,Squirrel Mix,Tan/Brown,1
152,Cat,Spayed Female,-0.047646242785645956,Domestic Shorthair Mix,Brown Tabby,0
153,Cat,Intact Female,-0.6981593204796158,Domestic Shorthair Mix,Black/White,0
154,Dog,Neutered Male,-0.055048952062390986,Chihuahua Shorthair Mix,Tricolor,0
155,Dog,Spayed Female,0.07542379894024023,Pit Bull Mix,Brown Brindle/White,0
156,Cat,Neutered Male,-0.677801869968567,Domestic Shorthair,Brown Tabby/White,0
157,Cat,Spayed Female,-0.6435643395636211,Domestic Shorthair Mix,Tortie,0
158,Dog,Neutered Male,0.3382199782646889,Pointer/Boxer,White/Brown Brindle,0
159,Dog,Intact Male,-0.39002154683510376,Pit Bull,Black/White,0
160,Dog,Intact Female,-0.4473925437298778,Doberman Pinsch,Black/Tan,0
161,Cat,Spayed Female,-0.6019240998819304,Domestic Shorthair,Brown Tabby,0
162,Cat,Spayed Female,0.014351447407093704,Domestic Shorthair Mix,Brown Tabby,0
163,Dog,Intact Female,-0.3964989174522557,Chihuahua Shorthair Mix,Black/Tan,0
164,Dog,Intact Female,-0.3807681602391725,Norfolk Terrier/Chihuahua Shorthair,Tan,0
165,Cat,Intact Male,-0.7157407550118853,Domestic Shorthair Mix,Brown Tabby,0
166,Bird,Unknown,-0.3964989174522557,Chicken,White/Tan,1
167,Cat,Spayed Female,-0.642639000904028,Domestic Longhair Mix,Black,0
168,Cat,Neutered Male,3.662961782182802,Domestic Shorthair Mix,Orange Tabby/White,1
169,Dog,Spayed Female,-0.44646720507028465,Finnish Spitz Mix,Cream,0
170,Dog,Neutered Male,-0.6796525472877533,Dachshund Wirehair/Miniature Poodle,Black/Tan,0
171,Cat,Spayed Female,-0.3650374030260893,Domestic Shorthair Mix,Black/White,0
172,Cat,Intact Female,-0.6592950967767044,Domestic Shorthair,Black/White,0
173,Cat,Neutered Male,-0.6315349369889105,Domestic Shorthair Mix,Cream Tabby/White,0
174,Dog,Spayed Female,-0.6047001158607097,Anatol Shepherd/Border Collie,Tan/White,0
175,Dog,Neutered Male,-0.05319827474320473,Cardigan Welsh Corgi/Labrador Retriever,Black/White,0
176,Cat,Intact Female,0.9591222188516786,Domestic Shorthair Mix,Brown Tabby,0
177,Cat,Neutered Male,-0.6269082436909449,Domestic Shorthair Mix,Blue Tabby/White,0
178,Cat,Spayed Female,-0.42703509321882893,Domestic Shorthair,Tortie,0
179,Cat,Neutered Male,-0.5861933426688472,Domestic Shorthair,Black/White,0
180,Dog,Spayed Female,-0.047646242785645956,Labrador Retriever Mix,Black/White,0
181,Cat,Spayed Female,-0.5880440199880335,Domestic Shorthair Mix,Gray/White,0
182,Cat,Spayed Female,-0.39279756281388317,Domestic Shorthair Mix,Torbie,0
183,Cat,Neutered Male,-0.6731751766706013,Siamese Mix,Flame Point,0
184,Cat,Spayed Female,-0.6703991606918219,Domestic Shorthair Mix,Blue Tabby,0
185,Cat,Intact Female,-0.6611457740958906,Domestic Shorthair Mix,Black,0
186,Cat,Spayed Female,-0.37429078962202056,Russian Blue Mix,Blue,0
187,Dog,Neutered Male,-0.38632019219673125,Jack Russell Terrier/Dachshund,White/Brown,0
188,Dog,Neutered Male,0.30305710920015005,Flat Coat Retriever/Australian Cattle Dog,Black/Brown,0
189,Dog,Neutered Male,-0.363186725706903,German Shepherd Mix,Chocolate/Tan,0
190,Cat,Spayed Female,-0.3011890355141634,Domestic Shorthair Mix,Black,0
191,Dog,Spayed Female,-0.6694738220322288,Australian Kelpie Mix,Chocolate/Tan,0
192,Dog,Intact Male,-0.39372290147347627,Siberian Husky Mix,Silver/Black,0
193,Other,Unknown,-0.5621345375194258,Bat,Brown,1
194,Cat,Spayed Female,1.6753343413767605,Domestic Shorthair Mix,Calico,0
195,Dog,Intact Male,-0.5880440199880335,Labrador Retriever Mix,Black,0
196,Dog,Intact Female,-0.3400532592170748,Pit Bull Mix,Tricolor,0
197,Cat,Neutered Male,-0.39187222415429,Domestic Shorthair Mix,Black,0
198,Dog,Intact Female,-0.3964989174522557,Pit Bull Mix,White/Brown,0
199,Dog,Spayed Female,-0.30581572881212904,Pit Bull Mix,Brown Brindle/White,0
200,Cat,Intact Male,0.08467718553617153,Domestic Shorthair Mix,Black/White,0
201,Other,Unknown,-0.3964989174522557,Bat Mix,Brown,1
202,Dog,Spayed Female,2.314743355155613,Beagle/Treeing Walker Coonhound,White/Brown,0
203,Cat,Intact Male,-0.713890077692699,Domestic Shorthair Mix,Brown Tabby,0
204,Dog,Spayed Female,1.3246309893909647,Pit Bull Mix,Tan/White,0
205,Dog,Neutered Male,-0.6583697581171113,German Shepherd/Australian Kelpie,Brown/Black,0
206,Cat,Neutered Male,-0.21328186285281608,Domestic Medium Hair,Brown Tabby,0
207,Cat,Intact Female,-0.6990846591392089,Domestic Shorthair Mix,White/Gray,0
208,Cat,Intact Male,-0.058750306700763505,Domestic Shorthair Mix,Orange,1
209,Dog,Spayed Female,-0.04949692010483221,Catahoula Mix,Blue Merle/White,0
