SIN with a Learning Rate of: 0.1 and Hidden Unit count of: 6

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 6, 1
Epochs: 10000
Learning Rate: 0.1

Target: [-0.9693991500910609]	Output: [0.9797645313835333]
Target: [0.4807616801715256]	Output: [0.5026771237203256]
Target: [0.6215443545298209]	Output: [-0.987237363197878]
Target: [0.9990020731032504]	Output: [-0.8968168540728342]
Target: [0.7581745082018556]	Output: [-0.22639548180616245]
Target: [-0.14491571878888973]	Output: [0.9916150148097687]
Target: [-0.8809519012296682]	Output: [0.9535882615594153]
Target: [0.9691879496927428]	Output: [-0.24457557492757404]
Target: [-0.5082943721153294]	Output: [-0.9704362109688023]
Target: [-0.354734775340559]	Output: [0.9843093304890927]
Target: [-0.5184507176458957]	Output: [-0.3376413511047113]
Target: [-0.2869820637331671]	Output: [-0.7948694704962057]
Target: [-0.046882145738180524]	Output: [-0.992724051208903]
Target: [0.012409169011528805]	Output: [-0.9908344539896847]
Target: [0.907184383205242]	Output: [-0.34800996204901796]
Target: [0.9570100603684228]	Output: [0.7255656910970918]
Target: [0.9869991648555898]	Output: [-0.9655409000722528]
Target: [0.9805410587309538]	Output: [-0.6263166226202307]
Target: [-0.8453396536092582]	Output: [0.9953912568500154]
Target: [0.6741982995646424]	Output: [-0.03981934794810507]
Target: [-0.22131862801044538]	Output: [-0.21954911742948552]
Target: [0.05456827310946827]	Output: [-0.8820734775010259]
Target: [-0.6720587720287978]	Output: [-0.6241813612902681]
Target: [0.7520833488861346]	Output: [-0.9573434658741132]
Target: [0.48103130546958517]	Output: [0.610317305679278]
Target: [0.6348855640048929]	Output: [-0.9863979912504688]
Target: [-0.8764685694230585]	Output: [0.8973192408262084]
Target: [-0.5747415026900143]	Output: [-0.817636887026631]
Target: [-0.04775668909231234]	Output: [0.9635805478676149]
Target: [-0.9767878933161419]	Output: [0.9169458271250821]
Target: [0.983009164248469]	Output: [-0.9845205710468855]
Target: [-0.9467487076989896]	Output: [0.8248663577313002]
Target: [0.9815926213845271]	Output: [-0.9103465034037921]
Target: [0.5548553310785728]	Output: [-0.758606129506886]
Target: [-0.7190042221179239]	Output: [-0.8160152160291018]
Target: [0.5569799945700369]	Output: [-0.9943974876060447]
Target: [-0.9786507708241176]	Output: [0.9918093635946793]
Target: [-0.32513548528839126]	Output: [0.9154279562885987]
Target: [0.8715606967578812]	Output: [-0.9697042083912246]
Target: [0.7895129690954633]	Output: [-0.6340966501167438]
Target: [-0.9791574295463661]	Output: [0.9790040018042876]
Target: [-0.2527306517706495]	Output: [-0.39714704355806313]
Target: [0.8447280280659811]	Output: [-0.9911707460145628]
Target: [0.8111774155321436]	Output: [-0.9459559097028839]
Target: [-0.475192267563504]	Output: [-0.8983596939158465]
Target: [0.641602813192802]	Output: [0.6563853561827878]
Target: [0.1574621197695581]	Output: [-0.9878332207580203]
Target: [-0.37501943179929614]	Output: [0.9941698464171664]
Target: [0.9798308645946067]	Output: [-0.9785767586763345]
Target: [0.8858094060692663]	Output: [0.8353913751755838]
Target: [-0.8041302822194432]	Output: [0.9711774388549325]
Target: [0.9341044733527536]	Output: [-0.8990578956139202]
Target: [0.9985969671085589]	Output: [-0.6715998408079509]
Target: [-0.9363644801245157]	Output: [-0.6155838718298479]
Target: [-0.891360614597438]	Output: [-0.90837997845587]
Target: [-0.32872396444892654]	Output: [-0.5161760543856564]
Target: [-0.6756916284982329]	Output: [0.9562637476645497]
Target: [0.9550196122078676]	Output: [-0.9733791166471325]
Target: [0.6822513826402206]	Output: [-0.9804242038521839]
Target: [0.3120732644895124]	Output: [0.19346199954297377]
Target: [0.9210806629396047]	Output: [-0.9920295576180892]
Target: [0.669860312041317]	Output: [-0.004809762856470409]
Target: [0.11369857493246203]	Output: [0.8062459101059387]
Target: [-0.8066414806678103]	Output: [0.987552045053066]
Target: [-0.4678418443253305]	Output: [0.19610302460759327]
Target: [-0.8943468295297559]	Output: [-0.520253927980996]
Target: [0.8522540451142597]	Output: [-0.996401179946588]
Target: [-0.31401525557424836]	Output: [-0.9586777231629998]
Target: [0.6318727990253831]	Output: [0.9525765115080814]
Target: [-0.6497247921902984]	Output: [0.9887594809425752]
Target: [-0.8252665862710288]	Output: [-0.027926298694171188]
Target: [-0.11884362588544523]	Output: [-0.9727565797377985]
Target: [0.9880603210774187]	Output: [-0.9886471208611474]
Target: [0.8806917381398216]	Output: [-0.9856694456090173]
Target: [0.06373723826089019]	Output: [-0.8228816582047106]
Target: [-0.8199313762326688]	Output: [0.9914297542583851]
Target: [-0.44195574160720624]	Output: [0.9936246349150232]
Target: [0.22645798542595927]	Output: [0.9899226429589949]
Target: [0.764295336663656]	Output: [0.5441564366847317]
Target: [0.8005238735691121]	Output: [-0.9946666822539776]
Target: [-0.8423413039027474]	Output: [-0.3876705102018068]
Target: [0.9405445730626414]	Output: [-0.4468471849851094]
Target: [0.07366909040883225]	Output: [0.5548113042714317]
Target: [0.8995963527536681]	Output: [-0.9501233072396763]
Target: [0.7977513262616697]	Output: [0.578698707329067]
Target: [0.6133189747151221]	Output: [0.05652653072814849]
Target: [0.70225093812065]	Output: [0.9490301206276603]
Target: [-0.388765074189341]	Output: [-0.9598449512655083]
Target: [0.7476188977215333]	Output: [-0.8646165042779491]
Target: [-0.892102649556769]	Output: [0.262781150848781]
Target: [0.26189099366776086]	Output: [-0.482523527674449]
Target: [0.85667281131539]	Output: [-0.9886470602107666]
Target: [-0.10604966978950503]	Output: [-0.9149980434978984]
Target: [-0.05374239476956108]	Output: [-0.9449459590894623]
Target: [0.9998101561962423]	Output: [-0.9906052834509949]
Target: [-0.8588764041519147]	Output: [0.9546061611762039]
Target: [0.5638745199448234]	Output: [-0.9611754726256071]
Target: [-0.9351153621448627]	Output: [0.8472747327904595]
Target: [0.8729452265014668]	Output: [-0.9671962631897237]
Target: [-0.2813658807000017]	Output: [-0.8465629275228951]
Target: [0.8740728022494477]	Output: [0.7403757813696761]
Target: [-0.8515329859093951]	Output: [0.991605552249848]
Target: [-0.144010699993538]	Output: [-0.35403050177953205]
Target: [0.9484643274005241]	Output: [-0.9919038235176063]
Target: [0.7879656259307671]	Output: [-0.9556461720171224]
Target: [-0.4453499784830055]	Output: [-0.913967175998246]
Target: [-0.5449764784025516]	Output: [0.9887202654415463]
Target: [0.5733214832138047]	Output: [-0.8615971735267361]
Target: [-0.9993985432402046]	Output: [0.9904009420153151]
Target: [0.9024941886933436]	Output: [0.13977265349601817]
Target: [-0.38419310044427224]	Output: [-0.9766439974445458]
Target: [-0.4948465723167813]	Output: [0.92477362209899]
Target: [-0.9886344136350981]	Output: [0.9217447151256462]
Target: [0.6781581426521358]	Output: [-0.9527742070438157]
Target: [-0.6370103874401443]	Output: [0.7199969785502798]
Target: [0.6508084350960934]	Output: [-0.9507121349704738]
Target: [-0.14006151703631087]	Output: [0.7692149280533723]
Target: [-0.13565433277097513]	Output: [0.9610270030398059]
Target: [0.9241425670935952]	Output: [-0.05652744309250804]
Target: [-0.22776224054982044]	Output: [-0.37507006156021]
Target: [-0.6014050225671357]	Output: [0.9866700161645736]
Target: [-0.053807178406216]	Output: [-0.9230348084062162]
Target: [-0.5258594835912181]	Output: [0.4489974293195799]
Target: [-0.8333469433547814]	Output: [0.9770795881373285]
Target: [0.06447089843097378]	Output: [-0.9750087598205774]
Target: [-0.6993899964444127]	Output: [0.9006334495435198]
Target: [0.5489505449044445]	Output: [-0.5596519421494283]
Target: [0.012917530732153078]	Output: [-0.905058367651973]
Target: [-0.39562670147931644]	Output: [-0.9420045302054818]
Target: [-0.8759652667426744]	Output: [0.9945335377270981]
Target: [0.010394253248407207]	Output: [0.7603300910540158]
Target: [-0.8746869301124631]	Output: [-0.7654834861077213]
Target: [-0.463959699205756]	Output: [0.9931704878734658]
Target: [0.3761854984824661]	Output: [-0.9733355345729121]
Target: [-0.08887143813610582]	Output: [-0.9280602167321756]
Target: [-0.6379854337290211]	Output: [0.9955762462587179]
Target: [0.9677630643906677]	Output: [-0.9939956605735774]
Target: [0.06739619518434571]	Output: [-0.9481488403780681]
Target: [-0.9316666619812839]	Output: [-0.09929554284773849]
Target: [-0.9951393100350782]	Output: [0.991897961359752]
Target: [0.49911140284263333]	Output: [0.7450235117092047]
Target: [-0.999139454700773]	Output: [0.7942776418440725]
Target: [0.670164601177769]	Output: [0.8001750661942049]
Target: [-0.9806269208844126]	Output: [0.9595458460908856]
Target: [0.19785228306679514]	Output: [0.9004259270622547]
Target: [0.6763756441797327]	Output: [-0.0877269271792135]
Target: [0.41318742807457864]	Output: [-0.9661237352540952]
Target: [0.9748280131974535]	Output: [-0.8146488965639662]
Target: [-0.01703775817269476]	Output: [0.36104603046465894]
Target: [0.949914862562988]	Output: [-0.4541971441518339]
Target: [0.057597914846806875]	Output: [-0.8942396205236103]
Target: [-0.27067273109897927]	Output: [0.8669318076846868]
Target: [0.9384002808332199]	Output: [0.5896701877466953]
Target: [-0.2626619759386802]	Output: [0.9750594356622481]
Target: [-0.9530312341796718]	Output: [0.985092140729732]
Target: [0.9799412344565451]	Output: [0.4509297729840066]
Target: [-0.06343477068794663]	Output: [0.09662302854037819]
Target: [0.7058535602139293]	Output: [0.8833960243767098]
Target: [0.4211190280145445]	Output: [-0.9862151465686344]
Target: [-0.4506819042877372]	Output: [0.8431943487433595]
Target: [-0.057497581582667705]	Output: [0.9302184181694748]
Target: [-0.8014924149588721]	Output: [0.5649623987243741]
Target: [0.9917117720787183]	Output: [0.5780284452716373]
Target: [0.7612167654717522]	Output: [-0.9896573900500296]
Target: [-0.8749603196774574]	Output: [0.9281278480861938]
Target: [-0.10591650133716009]	Output: [-0.9812763673092381]
Target: [-0.9645820868890065]	Output: [0.9935228065142101]
Target: [-0.4800258090427216]	Output: [0.9826008617474516]
Target: [0.09624348189916454]	Output: [-0.9757737372891337]
Target: [-0.8150342079572721]	Output: [0.06394122635390595]
Target: [0.9585863067459957]	Output: [-0.9501031317038147]
Target: [-0.10519323101370727]	Output: [-0.6111763956499899]
Target: [0.47526885210567027]	Output: [-0.4065632037444553]
Target: [0.873608036126588]	Output: [-0.9940934138538886]
Target: [0.6931356045639149]	Output: [-0.8602277941318086]
Target: [0.30087108643121024]	Output: [0.9310929848414633]
Target: [0.3452363247138835]	Output: [-0.945419076063232]
Target: [0.6891773799790138]	Output: [-0.97143885141616]
Target: [-0.8916260914787275]	Output: [0.9793860831852679]
Target: [-0.12181802999022315]	Output: [0.913138965621131]
Target: [0.7366648294571254]	Output: [-0.9912345455226812]
Target: [0.999842821759179]	Output: [0.27576430066918284]
Target: [0.42988613321294433]	Output: [-0.9928210014560129]
Target: [-0.7070104583510415]	Output: [0.7381494689475021]
Target: [0.9987968724657276]	Output: [-0.04081175052141957]
Target: [0.41966878214186065]	Output: [-0.8095555886637726]
Target: [-0.9958366070757315]	Output: [0.9848283101334613]
Target: [0.9987904061873041]	Output: [-0.986910877471621]
Target: [0.9780047030540843]	Output: [-0.14997815253235555]
Target: [-0.15445140734341462]	Output: [0.9520374424302864]
Target: [0.31015032887522903]	Output: [0.7374266005339717]
Target: [0.006945107447679331]	Output: [0.9684577025860411]
Target: [0.5506713075631116]	Output: [0.3617416586566207]
Target: [-0.9572545507597232]	Output: [0.3746096822717452]
Target: [0.8819705244277901]	Output: [-0.6917576907108305]
Target: [-0.7789995476350774]	Output: [0.9773782964136116]
Target: [-0.7403109198134431]	Output: [0.8085846136634234]
Target: [0.50004279761243]	Output: [0.7574045610405411]
Target: [0.8843089000127982]	Output: [-0.9944004957933086]
Target: [-0.07038463895242068]	Output: [0.9541015823650191]
Target: [0.499044234165923]	Output: [-0.9611923397203513]
Target: [0.05776304172501905]	Output: [-0.6546322892232397]
Target: [0.5662556966152046]	Output: [0.9629818096423254]
Target: [-0.9336491608643025]	Output: [-0.18537145335561891]
Target: [-0.3511863458960732]	Output: [0.9900155849241177]
Target: [-0.8616583307779961]	Output: [0.4153931231031047]
Target: [-0.9988064241415602]	Output: [0.36340669011878984]
Target: [0.5659859247205469]	Output: [-0.8926008432031566]
Target: [-0.09001295851881128]	Output: [0.9011464885433099]
Target: [0.16797576732090994]	Output: [-0.9775792609344088]
Target: [-0.5856434022205758]	Output: [-0.9737080512930281]
Target: [-0.902957245173009]	Output: [0.994034045559839]
Target: [0.7671322056626603]	Output: [-0.9788588349556451]
Target: [0.3451611713681326]	Output: [-0.7717857187445045]
Target: [0.9693693074197856]	Output: [-0.934081905610506]
Target: [-0.20504806469380696]	Output: [-0.993339405740045]
Target: [0.8071210287667886]	Output: [-0.9764780776334576]
Target: [-0.446716033370198]	Output: [-0.922606321339264]
Target: [0.9783164223406601]	Output: [-0.7195034569407113]
Target: [0.9836890704029062]	Output: [-0.9922475529052567]
Target: [0.47852035826329614]	Output: [0.8792890622157858]
Target: [-0.9999118895436185]	Output: [0.9905431749145759]
Target: [0.8202285437016388]	Output: [-0.9713947146231807]
Target: [-0.7267166007882534]	Output: [-0.1752075584061191]
Target: [0.9925984350873077]	Output: [-0.885242950150733]
Target: [-0.9624066409482492]	Output: [0.599705181767937]
Target: [-0.6463558690036199]	Output: [0.9286947920735988]
Target: [-0.5745029629357538]	Output: [-0.7907345635570721]
Target: [0.23589658460599794]	Output: [0.9066501689385328]
Target: [0.6396026619481844]	Output: [-0.935833442205365]
Target: [0.14498314080820557]	Output: [0.8203213910615959]
Target: [0.968752034911139]	Output: [-0.9776916791616713]
Target: [-0.7449787445909818]	Output: [0.9901335416047795]
Target: [0.24719460863263915]	Output: [-0.9578477416531204]
Target: [-0.7588241513660264]	Output: [0.8787071204888051]
Target: [-0.5733040040258923]	Output: [0.9844141012275626]
Target: [-0.2838827641259438]	Output: [-0.6100247277587283]
